data,regiao,estado,categoria,vendedor,receita,qtd_itens,meta
2023-08-10,Sudeste,MG,Eletrônicos,Ana Silva,704.66,1,991.37
2023-08-10,Sul,PR,Esportes & Lazer,Gustavo Pereira,296.35,3,393.11
2023-08-10,Sudeste,ES,Roupas & Calçados,Diana Santos,152.61,6,200.72
2023-08-10,Sul,PR,Roupas & Calçados,Ana Silva,336.2,5,407.08
2023-08-11,Centro-Oeste,MS,Alimentos & Bebidas,Fernanda Alves,231.72,1,221.64
2023-08-11,Sudeste,MG,Casa & Jardim,Gustavo Pereira,652.41,3,788.32
2023-08-11,Sul,RS,Roupas & Calçados,Helena Martins,300.35,3,378.11
2023-08-11,Nordeste,CE,Roupas & Calçados,Carlos Lima,97.01,1,103.23
2023-08-11,Nordeste,PE,Eletrônicos,Helena Martins,3488.1,5,4768.39
2023-08-11,Sudeste,MG,Casa & Jardim,Diana Santos,786.0,2,943.8
2023-08-11,Sudeste,ES,Roupas & Calçados,Gustavo Pereira,466.05,1,563.94
2023-08-11,Sudeste,SP,Alimentos & Bebidas,Bruno Costa,237.35,4,281.86
2023-08-11,Norte,PA,Esportes & Lazer,Bruno Costa,766.15,1,852.27
2023-08-11,Norte,AM,Casa & Jardim,Carlos Lima,585.14,5,573.39
2023-08-11,Sudeste,ES,Esportes & Lazer,Ana Silva,432.61,4,631.55
2023-08-11,Centro-Oeste,MS,Casa & Jardim,Fernanda Alves,424.8,5,438.89
2023-08-11,Nordeste,CE,Casa & Jardim,Carlos Lima,61.4,6,70.88
2023-08-12,Sudeste,RJ,Roupas & Calçados,Gustavo Pereira,238.29,3,305.98
2023-08-12,Sudeste,SP,Eletrônicos,Gustavo Pereira,1482.31,1,2372.19
2023-08-12,Nordeste,PE,Eletrônicos,Fernanda Alves,1129.19,1,1511.73
2023-08-12,Sudeste,RJ,Casa & Jardim,Bruno Costa,515.58,6,675.52
2023-08-12,Sul,PR,Roupas & Calçados,Eduardo Rocha,233.86,2,264.27
2023-08-12,Sudeste,SP,Roupas & Calçados,Gustavo Pereira,297.6,2,385.59
2023-08-12,Sudeste,RJ,Roupas & Calçados,Fernanda Alves,255.51,6,343.03
2023-08-12,Sudeste,RJ,Casa & Jardim,Eduardo Rocha,544.81,1,692.46
2023-08-12,Sul,SC,Esportes & Lazer,Carlos Lima,1149.97,1,1358.55
2023-08-12,Centro-Oeste,GO,Casa & Jardim,Helena Martins,81.32,6,82.7
2023-08-12,Sul,PR,Eletrônicos,Ana Silva,2608.33,5,3552.08
2023-08-12,Sul,RS,Eletrônicos,Ana Silva,1918.97,6,2715.26
2023-08-12,Sudeste,MG,Roupas & Calçados,Eduardo Rocha,197.39,5,274.34
2023-08-13,Centro-Oeste,MT,Eletrônicos,Gustavo Pereira,1124.45,1,1335.97
2023-08-13,Nordeste,BA,Roupas & Calçados,Eduardo Rocha,116.88,1,140.45
2023-08-13,Sudeste,MG,Alimentos & Bebidas,Eduardo Rocha,216.66,6,246.77
2023-08-13,Norte,PA,Eletrônicos,Fernanda Alves,1864.32,1,1929.62
2023-08-13,Sudeste,RJ,Eletrônicos,Helena Martins,2570.43,3,3546.75
2023-08-13,Sudeste,SP,Eletrônicos,Diana Santos,1543.18,2,2174.79
2023-08-13,Sul,SC,Eletrônicos,Ana Silva,3368.97,5,4782.43
2023-08-14,Nordeste,BA,Casa & Jardim,Carlos Lima,711.55,4,783.8
2023-08-14,Sudeste,RJ,Alimentos & Bebidas,Helena Martins,89.28,5,93.34
2023-08-14,Sudeste,SP,Alimentos & Bebidas,Helena Martins,83.56,3,88.18
2023-08-14,Sul,RS,Roupas & Calçados,Fernanda Alves,274.49,5,308.72
2023-08-14,Sul,RS,Eletrônicos,Bruno Costa,288.55,6,361.47
2023-08-14,Sul,SC,Roupas & Calçados,Gustavo Pereira,493.86,5,640.57
2023-08-15,Sudeste,ES,Roupas & Calçados,Fernanda Alves,465.82,3,638.72
2023-08-15,Sul,PR,Esportes & Lazer,Carlos Lima,143.83,4,193.09
2023-08-15,Sul,PR,Roupas & Calçados,Bruno Costa,152.91,1,170.43
2023-08-15,Centro-Oeste,DF,Roupas & Calçados,Carlos Lima,67.94,1,74.48
2023-08-15,Sul,SC,Casa & Jardim,Eduardo Rocha,493.4,4,618.11
2023-08-15,Sul,SC,Casa & Jardim,Fernanda Alves,694.86,1,879.71
2023-08-15,Sudeste,ES,Casa & Jardim,Carlos Lima,767.86,1,945.0
2023-08-15,Sudeste,MG,Alimentos & Bebidas,Fernanda Alves,110.07,3,121.24
2023-08-15,Norte,RO,Casa & Jardim,Diana Santos,141.83,3,133.99
2023-08-16,Norte,TO,Alimentos & Bebidas,Ana Silva,141.01,1,124.92
2023-08-16,Sudeste,RJ,Esportes & Lazer,Eduardo Rocha,276.21,4,400.57
2023-08-16,Nordeste,BA,Eletrônicos,Ana Silva,584.27,3,777.64
2023-08-16,Sudeste,RJ,Eletrônicos,Helena Martins,674.4,1,1014.96
2023-08-17,Centro-Oeste,MT,Eletrônicos,Ana Silva,827.7,1,916.23
2023-08-17,Sul,PR,Roupas & Calçados,Ana Silva,103.49,3,134.06
2023-08-17,Sudeste,RJ,Casa & Jardim,Helena Martins,351.84,6,472.16
2023-08-17,Nordeste,CE,Roupas & Calçados,Gustavo Pereira,94.18,5,104.36
2023-08-17,Sudeste,SP,Eletrônicos,Eduardo Rocha,1342.74,3,2093.56
2023-08-17,Nordeste,BA,Casa & Jardim,Fernanda Alves,110.23,6,109.15
2023-08-17,Nordeste,BA,Alimentos & Bebidas,Carlos Lima,234.09,1,201.49
2023-08-17,Nordeste,BA,Casa & Jardim,Bruno Costa,584.35,2,626.17
2023-08-17,Sudeste,MG,Casa & Jardim,Fernanda Alves,140.59,2,160.42
2023-08-17,Sudeste,SP,Roupas & Calçados,Carlos Lima,481.63,2,603.39
2023-08-18,Nordeste,MA,Casa & Jardim,Ana Silva,742.9,5,854.09
2023-08-18,Nordeste,BA,Alimentos & Bebidas,Fernanda Alves,104.18,6,104.42
2023-08-18,Sudeste,ES,Alimentos & Bebidas,Fernanda Alves,205.74,1,257.73
2023-08-18,Sudeste,ES,Alimentos & Bebidas,Ana Silva,199.08,5,231.91
2023-08-18,Sudeste,RJ,Esportes & Lazer,Carlos Lima,1148.85,4,1647.57
2023-08-18,Nordeste,BA,Roupas & Calçados,Carlos Lima,212.09,6,213.93
2023-08-18,Sul,PR,Roupas & Calçados,Fernanda Alves,378.55,2,467.54
2023-08-18,Nordeste,CE,Casa & Jardim,Fernanda Alves,441.37,4,480.72
2023-08-19,Sul,RS,Eletrônicos,Carlos Lima,656.39,2,853.69
2023-08-19,Nordeste,BA,Esportes & Lazer,Gustavo Pereira,586.91,2,665.43
2023-08-19,Nordeste,BA,Eletrônicos,Helena Martins,3455.57,2,4157.41
2023-08-19,Sudeste,ES,Roupas & Calçados,Diana Santos,81.09,4,103.0
2023-08-20,Sudeste,ES,Casa & Jardim,Bruno Costa,696.79,3,956.16
2023-08-20,Centro-Oeste,DF,Casa & Jardim,Fernanda Alves,691.13,2,632.52
2023-08-20,Sul,SC,Alimentos & Bebidas,Carlos Lima,164.46,6,177.02
2023-08-20,Sul,RS,Casa & Jardim,Fernanda Alves,565.71,4,635.0
2023-08-20,Nordeste,CE,Esportes & Lazer,Diana Santos,57.58,5,62.93
2023-08-20,Sudeste,RJ,Roupas & Calçados,Eduardo Rocha,443.19,2,545.89
2023-08-20,Sudeste,RJ,Casa & Jardim,Diana Santos,760.38,3,977.42
2023-08-20,Sudeste,ES,Eletrônicos,Bruno Costa,2719.71,3,4242.11
2023-08-20,Sudeste,ES,Eletrônicos,Bruno Costa,412.11,6,557.73
2023-08-20,Sul,SC,Casa & Jardim,Carlos Lima,411.29,1,474.3
2023-08-20,Nordeste,BA,Eletrônicos,Fernanda Alves,2488.66,2,3282.38
2023-08-20,Sudeste,RJ,Esportes & Lazer,Carlos Lima,1195.15,1,1722.08
2023-08-20,Centro-Oeste,GO,Roupas & Calçados,Bruno Costa,72.87,2,80.0
2023-08-21,Sudeste,RJ,Roupas & Calçados,Carlos Lima,92.55,2,111.47
2023-08-21,Centro-Oeste,MT,Esportes & Lazer,Gustavo Pereira,490.29,2,525.25
2023-08-21,Sudeste,MG,Eletrônicos,Gustavo Pereira,914.06,4,1344.0
2023-08-21,Nordeste,MA,Alimentos & Bebidas,Ana Silva,154.91,2,135.48
2023-08-21,Sudeste,MG,Roupas & Calçados,Ana Silva,431.21,4,592.22
2023-08-21,Sul,PR,Eletrônicos,Diana Santos,1499.01,1,1872.51
2023-08-21,Nordeste,CE,Alimentos & Bebidas,Helena Martins,56.1,3,52.99
2023-08-21,Sudeste,ES,Casa & Jardim,Fernanda Alves,586.21,1,765.58
2023-08-21,Sudeste,ES,Eletrônicos,Diana Santos,509.39,1,762.25
2023-08-21,Sudeste,MG,Casa & Jardim,Fernanda Alves,494.98,6,577.44
2023-08-21,Centro-Oeste,DF,Eletrônicos,Eduardo Rocha,1332.08,2,1687.92
2023-08-21,Centro-Oeste,DF,Alimentos & Bebidas,Gustavo Pereira,122.56,2,112.17
2023-08-22,Sudeste,MG,Alimentos & Bebidas,Bruno Costa,42.62,1,46.34
2023-08-22,Sudeste,SP,Alimentos & Bebidas,Diana Santos,58.73,6,72.59
2023-08-22,Sudeste,RJ,Eletrônicos,Fernanda Alves,3055.16,5,4985.17
2023-08-22,Norte,PA,Esportes & Lazer,Gustavo Pereira,902.25,5,998.95
2023-08-22,Sudeste,RJ,Eletrônicos,Gustavo Pereira,2361.11,6,3412.89
2023-08-22,Sudeste,RJ,Eletrônicos,Bruno Costa,328.81,1,505.9
2023-08-22,Sul,PR,Alimentos & Bebidas,Bruno Costa,215.15,4,212.26
2023-08-22,Nordeste,BA,Alimentos & Bebidas,Diana Santos,221.19,1,218.01
2023-08-22,Norte,TO,Roupas & Calçados,Carlos Lima,127.91,6,126.39
2023-08-22,Centro-Oeste,MT,Casa & Jardim,Ana Silva,345.48,2,349.76
2023-08-23,Nordeste,CE,Casa & Jardim,Gustavo Pereira,616.39,1,616.62
2023-08-23,Sudeste,MG,Alimentos & Bebidas,Bruno Costa,168.72,6,210.12
2023-08-23,Sudeste,SP,Casa & Jardim,Fernanda Alves,335.58,6,385.74
2023-08-23,Sul,SC,Alimentos & Bebidas,Helena Martins,74.88,2,80.67
2023-08-23,Norte,RO,Alimentos & Bebidas,Gustavo Pereira,186.93,1,163.53
2023-08-23,Sudeste,RJ,Roupas & Calçados,Carlos Lima,53.28,4,63.62
2023-08-23,Sudeste,MG,Eletrônicos,Helena Martins,2195.79,3,3394.77
2023-08-23,Nordeste,CE,Casa & Jardim,Ana Silva,60.61,6,65.84
2023-08-23,Nordeste,MA,Roupas & Calçados,Gustavo Pereira,438.23,3,469.15
2023-08-24,Nordeste,CE,Roupas & Calçados,Gustavo Pereira,110.76,5,133.35
2023-08-24,Nordeste,MA,Alimentos & Bebidas,Helena Martins,199.07,6,195.9
2023-08-24,Sudeste,SP,Roupas & Calçados,Eduardo Rocha,436.32,6,633.29
2023-08-24,Sudeste,MG,Eletrônicos,Ana Silva,660.12,4,952.29
2023-08-24,Sudeste,ES,Roupas & Calçados,Ana Silva,412.54,4,551.68
2023-08-24,Nordeste,BA,Esportes & Lazer,Gustavo Pereira,312.37,6,361.23
2023-08-24,Sul,SC,Alimentos & Bebidas,Carlos Lima,237.01,2,263.84
2023-08-24,Sudeste,MG,Eletrônicos,Gustavo Pereira,1674.87,2,2443.85
2023-08-25,Sudeste,SP,Eletrônicos,Carlos Lima,2333.44,2,3354.5
2023-08-25,Sudeste,RJ,Roupas & Calçados,Eduardo Rocha,107.56,1,136.64
2023-08-25,Centro-Oeste,GO,Roupas & Calçados,Helena Martins,81.31,4,91.22
2023-08-25,Centro-Oeste,GO,Casa & Jardim,Eduardo Rocha,777.98,1,789.32
2023-08-25,Sudeste,MG,Alimentos & Bebidas,Diana Santos,122.15,2,151.06
2023-08-25,Nordeste,PE,Esportes & Lazer,Eduardo Rocha,337.96,1,366.0
2023-08-25,Sul,RS,Eletrônicos,Bruno Costa,3317.77,2,4926.19
2023-08-25,Sudeste,RJ,Casa & Jardim,Eduardo Rocha,536.29,1,682.95
2023-08-25,Sul,PR,Roupas & Calçados,Carlos Lima,440.06,6,551.22
2023-08-25,Sudeste,MG,Casa & Jardim,Ana Silva,644.51,3,866.27
2023-08-26,Sul,SC,Eletrônicos,Eduardo Rocha,1949.64,2,2422.1
2023-08-26,Sul,RS,Eletrônicos,Diana Santos,3277.03,6,4155.25
2023-08-26,Norte,RO,Roupas & Calçados,Gustavo Pereira,307.65,3,272.29
2023-08-26,Sul,PR,Roupas & Calçados,Fernanda Alves,199.17,6,263.39
2023-08-26,Sudeste,ES,Esportes & Lazer,Helena Martins,761.71,2,1153.32
2023-08-26,Sul,SC,Alimentos & Bebidas,Bruno Costa,227.49,1,248.23
2023-08-26,Sudeste,RJ,Roupas & Calçados,Carlos Lima,256.96,2,330.8
2023-08-26,Nordeste,CE,Eletrônicos,Eduardo Rocha,2091.7,4,2676.37
2023-08-26,Sudeste,SP,Roupas & Calçados,Gustavo Pereira,363.39,5,482.29
2023-08-26,Sul,RS,Roupas & Calçados,Bruno Costa,306.7,5,362.45
2023-08-26,Centro-Oeste,GO,Casa & Jardim,Helena Martins,423.87,3,434.23
2023-08-26,Nordeste,PE,Alimentos & Bebidas,Bruno Costa,232.7,3,242.24
2023-08-27,Sudeste,RJ,Eletrônicos,Ana Silva,1037.96,5,1605.29
2023-08-27,Nordeste,PE,Eletrônicos,Fernanda Alves,2926.14,5,3341.06
2023-08-27,Sudeste,ES,Casa & Jardim,Bruno Costa,643.91,5,843.8
2023-08-27,Norte,AM,Alimentos & Bebidas,Diana Santos,249.4,3,199.6
2023-08-27,Nordeste,BA,Esportes & Lazer,Carlos Lima,434.98,2,528.2
2023-08-27,Nordeste,MA,Alimentos & Bebidas,Bruno Costa,169.83,1,167.64
2023-08-27,Sudeste,SP,Roupas & Calçados,Diana Santos,285.94,1,391.36
2023-08-27,Sul,SC,Roupas & Calçados,Bruno Costa,93.58,3,109.91
2023-08-28,Nordeste,PE,Esportes & Lazer,Fernanda Alves,1043.43,3,1106.99
2023-08-28,Nordeste,CE,Alimentos & Bebidas,Helena Martins,34.43,3,30.8
2023-08-28,Sudeste,MG,Alimentos & Bebidas,Diana Santos,34.51,6,35.67
2023-08-28,Sul,PR,Alimentos & Bebidas,Helena Martins,179.73,1,180.03
2023-08-28,Nordeste,MA,Casa & Jardim,Eduardo Rocha,496.55,1,570.02
2023-08-28,Sul,SC,Alimentos & Bebidas,Diana Santos,50.94,1,49.11
2023-08-28,Sudeste,ES,Roupas & Calçados,Eduardo Rocha,327.19,5,451.26
2023-08-28,Nordeste,BA,Roupas & Calçados,Eduardo Rocha,496.44,1,517.84
2023-08-28,Sudeste,MG,Esportes & Lazer,Eduardo Rocha,633.32,2,911.13
2023-08-29,Sudeste,MG,Esportes & Lazer,Gustavo Pereira,817.93,3,1207.05
2023-08-29,Sudeste,MG,Alimentos & Bebidas,Ana Silva,215.36,1,227.02
2023-08-29,Norte,RO,Eletrônicos,Gustavo Pereira,446.7,4,458.55
2023-08-29,Sudeste,RJ,Esportes & Lazer,Eduardo Rocha,935.76,1,1202.34
2023-08-29,Sul,SC,Esportes & Lazer,Bruno Costa,217.26,1,264.69
2023-08-29,Sudeste,ES,Roupas & Calçados,Gustavo Pereira,114.23,6,138.86
2023-08-29,Sudeste,ES,Eletrônicos,Bruno Costa,1808.4,5,2550.04
2023-08-29,Norte,PA,Roupas & Calçados,Fernanda Alves,471.75,6,430.9
2023-08-30,Sul,RS,Alimentos & Bebidas,Eduardo Rocha,182.87,3,202.92
2023-08-30,Centro-Oeste,MT,Eletrônicos,Eduardo Rocha,247.14,1,318.15
2023-08-30,Sul,SC,Casa & Jardim,Carlos Lima,652.41,5,764.42
2023-08-30,Sudeste,RJ,Alimentos & Bebidas,Diana Santos,95.89,1,119.8
2023-08-30,Sudeste,RJ,Roupas & Calçados,Eduardo Rocha,339.08,5,463.47
2023-08-30,Sul,SC,Eletrônicos,Eduardo Rocha,633.04,1,909.74
2023-08-30,Sudeste,ES,Alimentos & Bebidas,Carlos Lima,224.98,3,247.95
2023-08-30,Norte,AM,Roupas & Calçados,Diana Santos,66.54,4,58.64
2023-08-30,Sudeste,RJ,Alimentos & Bebidas,Helena Martins,184.14,2,203.46
2023-08-30,Sul,SC,Casa & Jardim,Carlos Lima,135.25,6,155.09
2023-08-31,Nordeste,BA,Roupas & Calçados,Fernanda Alves,297.35,3,316.0
2023-08-31,Centro-Oeste,MT,Alimentos & Bebidas,Fernanda Alves,87.63,5,81.94
2023-08-31,Sudeste,RJ,Esportes & Lazer,Gustavo Pereira,54.75,2,78.42
2023-08-31,Nordeste,CE,Roupas & Calçados,Helena Martins,347.7,6,362.53
2023-08-31,Sudeste,ES,Casa & Jardim,Eduardo Rocha,413.76,2,562.6
2023-08-31,Sudeste,RJ,Alimentos & Bebidas,Helena Martins,195.35,3,215.8
2023-08-31,Sudeste,MG,Casa & Jardim,Gustavo Pereira,731.38,2,907.79
2023-08-31,Sudeste,ES,Eletrônicos,Bruno Costa,1873.27,6,2751.4
2023-09-01,Norte,RO,Alimentos & Bebidas,Ana Silva,74.76,5,60.98
2023-09-01,Sudeste,MG,Eletrônicos,Bruno Costa,2120.76,3,3226.64
2023-09-01,Nordeste,CE,Roupas & Calçados,Eduardo Rocha,58.58,6,67.4
2023-09-01,Norte,TO,Eletrônicos,Helena Martins,3044.08,5,3279.0
2023-09-01,Nordeste,BA,Eletrônicos,Eduardo Rocha,3410.9,5,4403.39
2023-09-01,Sudeste,RJ,Roupas & Calçados,Fernanda Alves,490.72,3,643.6
2023-09-01,Sudeste,RJ,Eletrônicos,Bruno Costa,2103.44,5,3380.69
2023-09-01,Centro-Oeste,GO,Eletrônicos,Helena Martins,1749.34,1,2024.7
2023-09-01,Centro-Oeste,MS,Esportes & Lazer,Eduardo Rocha,649.0,4,683.24
2023-09-01,Nordeste,BA,Roupas & Calçados,Helena Martins,115.51,4,119.5
2023-09-01,Nordeste,BA,Roupas & Calçados,Eduardo Rocha,45.54,5,45.81
2023-09-01,Sul,PR,Eletrônicos,Diana Santos,1648.56,4,2431.32
2023-09-02,Sudeste,MG,Eletrônicos,Ana Silva,677.46,2,1113.43
2023-09-02,Sudeste,SP,Roupas & Calçados,Bruno Costa,128.95,2,163.24
2023-09-02,Centro-Oeste,DF,Casa & Jardim,Diana Santos,233.17,2,239.39
2023-09-02,Sul,SC,Casa & Jardim,Ana Silva,704.68,3,815.13
2023-09-02,Sudeste,SP,Roupas & Calçados,Bruno Costa,117.23,2,142.21
2023-09-02,Sul,RS,Esportes & Lazer,Helena Martins,482.31,4,592.02
2023-09-02,Sul,SC,Roupas & Calçados,Fernanda Alves,413.54,6,473.88
2023-09-02,Sul,RS,Casa & Jardim,Fernanda Alves,252.33,2,272.48
2023-09-02,Sudeste,RJ,Alimentos & Bebidas,Carlos Lima,27.74,1,31.11
2023-09-02,Nordeste,MA,Eletrônicos,Bruno Costa,150.43,6,199.99
2023-09-02,Centro-Oeste,DF,Roupas & Calçados,Eduardo Rocha,482.51,3,518.8
2023-09-03,Sudeste,SP,Roupas & Calçados,Fernanda Alves,49.35,5,67.9
2023-09-03,Sudeste,MG,Eletrônicos,Bruno Costa,352.89,1,532.86
2023-09-03,Sul,SC,Roupas & Calçados,Diana Santos,467.81,5,531.21
2023-09-03,Norte,RO,Casa & Jardim,Helena Martins,435.4,2,403.79
2023-09-04,Sudeste,SP,Alimentos & Bebidas,Ana Silva,143.19,1,167.19
2023-09-04,Sudeste,ES,Casa & Jardim,Helena Martins,571.27,6,691.27
2023-09-04,Sul,PR,Alimentos & Bebidas,Carlos Lima,233.16,3,232.08
2023-09-04,Centro-Oeste,MS,Esportes & Lazer,Fernanda Alves,195.57,4,216.66
2023-09-04,Sul,RS,Alimentos & Bebidas,Gustavo Pereira,71.95,3,67.84
2023-09-04,Centro-Oeste,GO,Casa & Jardim,Diana Santos,193.7,3,204.72
2023-09-04,Sudeste,ES,Roupas & Calçados,Helena Martins,476.03,6,655.91
2023-09-04,Sudeste,ES,Esportes & Lazer,Ana Silva,665.31,6,908.54
2023-09-05,Sudeste,RJ,Roupas & Calçados,Helena Martins,280.49,5,355.65
2023-09-05,Centro-Oeste,GO,Casa & Jardim,Fernanda Alves,534.03,3,532.07
2023-09-05,Sul,RS,Roupas & Calçados,Fernanda Alves,474.95,1,602.52
2023-09-05,Sudeste,ES,Casa & Jardim,Fernanda Alves,481.71,5,644.09
2023-09-05,Sul,SC,Alimentos & Bebidas,Helena Martins,34.55,6,35.09
2023-09-05,Sudeste,RJ,Casa & Jardim,Carlos Lima,413.83,4,475.85
2023-09-05,Norte,RO,Roupas & Calçados,Ana Silva,297.41,1,296.23
2023-09-05,Sudeste,ES,Alimentos & Bebidas,Ana Silva,165.36,4,196.41
2023-09-05,Nordeste,PE,Eletrônicos,Fernanda Alves,2654.88,5,3429.89
2023-09-05,Sudeste,ES,Casa & Jardim,Carlos Lima,168.98,6,225.29
2023-09-05,Sudeste,SP,Casa & Jardim,Bruno Costa,671.05,2,769.08
2023-09-05,Nordeste,MA,Esportes & Lazer,Carlos Lima,184.33,5,212.26
2023-09-06,Sudeste,RJ,Casa & Jardim,Gustavo Pereira,407.45,2,491.15
2023-09-06,Sudeste,MG,Casa & Jardim,Eduardo Rocha,422.99,6,518.57
2023-09-06,Sudeste,SP,Eletrônicos,Gustavo Pereira,334.88,1,469.91
2023-09-06,Sul,PR,Roupas & Calçados,Diana Santos,135.77,6,157.67
2023-09-06,Centro-Oeste,DF,Eletrônicos,Carlos Lima,2647.47,2,3180.53
2023-09-06,Sul,PR,Roupas & Calçados,Gustavo Pereira,132.09,4,156.52
2023-09-06,Sudeste,ES,Alimentos & Bebidas,Bruno Costa,41.5,6,44.11
2023-09-06,Sudeste,MG,Eletrônicos,Bruno Costa,2437.22,3,3370.85
2023-09-07,Centro-Oeste,DF,Eletrônicos,Bruno Costa,1574.53,5,1805.88
2023-09-07,Centro-Oeste,MS,Roupas & Calçados,Carlos Lima,340.7,2,330.3
2023-09-07,Norte,AM,Alimentos & Bebidas,Diana Santos,84.34,2,75.99
2023-09-07,Sul,PR,Alimentos & Bebidas,Diana Santos,157.59,6,153.44
2023-09-07,Sudeste,ES,Esportes & Lazer,Carlos Lima,176.66,1,233.04
2023-09-07,Norte,RO,Casa & Jardim,Fernanda Alves,183.33,5,167.73
2023-09-07,Sul,RS,Roupas & Calçados,Carlos Lima,129.15,2,164.36
2023-09-07,Sul,SC,Roupas & Calçados,Bruno Costa,415.81,6,483.28
2023-09-07,Centro-Oeste,GO,Esportes & Lazer,Eduardo Rocha,229.12,2,274.23
2023-09-07,Sudeste,SP,Esportes & Lazer,Eduardo Rocha,349.11,3,522.98
2023-09-08,Nordeste,CE,Esportes & Lazer,Diana Santos,79.56,3,93.82
2023-09-08,Sudeste,ES,Alimentos & Bebidas,Bruno Costa,136.67,5,164.5
2023-09-08,Sudeste,SP,Alimentos & Bebidas,Diana Santos,58.5,2,61.19
2023-09-08,Norte,TO,Alimentos & Bebidas,Fernanda Alves,93.7,6,78.25
2023-09-08,Sul,RS,Casa & Jardim,Helena Martins,404.94,6,503.5
2023-09-08,Nordeste,BA,Casa & Jardim,Fernanda Alves,359.72,3,397.28
2023-09-08,Sudeste,SP,Alimentos & Bebidas,Ana Silva,72.97,2,76.5
2023-09-08,Sul,RS,Esportes & Lazer,Diana Santos,213.1,4,273.5
2023-09-09,Centro-Oeste,DF,Alimentos & Bebidas,Eduardo Rocha,99.46,2,85.88
2023-09-09,Sudeste,ES,Roupas & Calçados,Eduardo Rocha,419.25,1,558.99
2023-09-09,Nordeste,MA,Alimentos & Bebidas,Diana Santos,94.01,3,81.3
2023-09-09,Sudeste,ES,Casa & Jardim,Eduardo Rocha,86.2,6,110.11
2023-09-09,Sul,RS,Roupas & Calçados,Gustavo Pereira,324.02,1,354.97
2023-09-10,Centro-Oeste,DF,Eletrônicos,Helena Martins,741.54,5,892.72
2023-09-10,Sudeste,ES,Alimentos & Bebidas,Diana Santos,233.65,5,245.39
2023-09-10,Sul,PR,Eletrônicos,Fernanda Alves,570.23,6,858.36
2023-09-10,Sul,PR,Casa & Jardim,Gustavo Pereira,359.89,4,392.74
2023-09-10,Sudeste,RJ,Roupas & Calçados,Ana Silva,408.3,2,586.18
2023-09-11,Norte,PA,Casa & Jardim,Carlos Lima,91.92,2,87.8
2023-09-11,Sul,PR,Roupas & Calçados,Bruno Costa,348.54,3,458.49
2023-09-11,Sudeste,MG,Roupas & Calçados,Bruno Costa,94.41,5,129.23
2023-09-11,Nordeste,BA,Casa & Jardim,Fernanda Alves,424.49,2,474.73
2023-09-11,Nordeste,CE,Eletrônicos,Diana Santos,154.3,4,182.26
2023-09-11,Centro-Oeste,GO,Esportes & Lazer,Ana Silva,305.04,2,337.37
2023-09-11,Nordeste,MA,Eletrônicos,Eduardo Rocha,2443.54,1,3051.27
2023-09-11,Sudeste,MG,Roupas & Calçados,Bruno Costa,425.89,4,532.22
2023-09-12,Sudeste,ES,Alimentos & Bebidas,Gustavo Pereira,62.19,2,67.24
2023-09-12,Centro-Oeste,DF,Roupas & Calçados,Helena Martins,318.5,3,315.87
2023-09-12,Sudeste,SP,Eletrônicos,Helena Martins,1041.01,3,1710.43
2023-09-12,Norte,TO,Eletrônicos,Diana Santos,700.54,6,831.46
2023-09-12,Sudeste,ES,Casa & Jardim,Carlos Lima,485.46,3,572.34
2023-09-12,Sul,SC,Roupas & Calçados,Carlos Lima,468.93,2,589.23
2023-09-12,Centro-Oeste,DF,Roupas & Calçados,Ana Silva,242.79,1,262.38
2023-09-12,Nordeste,MA,Casa & Jardim,Eduardo Rocha,756.57,6,854.3
2023-09-13,Norte,PA,Eletrônicos,Bruno Costa,3107.85,6,3213.84
2023-09-13,Sudeste,RJ,Alimentos & Bebidas,Bruno Costa,234.47,1,255.1
2023-09-13,Centro-Oeste,DF,Alimentos & Bebidas,Fernanda Alves,60.34,5,55.72
2023-09-13,Norte,AM,Eletrônicos,Diana Santos,2021.67,4,2370.02
2023-09-13,Sul,SC,Roupas & Calçados,Helena Martins,356.28,4,425.82
2023-09-14,Nordeste,BA,Roupas & Calçados,Diana Santos,77.34,2,82.78
2023-09-14,Sudeste,MG,Alimentos & Bebidas,Eduardo Rocha,162.47,5,195.68
2023-09-14,Sudeste,SP,Casa & Jardim,Fernanda Alves,610.19,2,715.56
2023-09-14,Norte,TO,Esportes & Lazer,Carlos Lima,509.17,6,566.44
2023-09-14,Sudeste,ES,Alimentos & Bebidas,Ana Silva,228.76,5,263.49
2023-09-14,Nordeste,BA,Roupas & Calçados,Carlos Lima,216.53,5,249.6
2023-09-14,Centro-Oeste,MT,Eletrônicos,Helena Martins,1226.83,6,1472.75
2023-09-15,Sudeste,SP,Alimentos & Bebidas,Eduardo Rocha,123.66,5,152.36
2023-09-15,Sudeste,ES,Casa & Jardim,Fernanda Alves,752.44,6,914.6
2023-09-15,Sudeste,RJ,Casa & Jardim,Gustavo Pereira,330.04,3,377.79
2023-09-15,Sudeste,SP,Casa & Jardim,Carlos Lima,473.32,6,593.2
2023-09-15,Centro-Oeste,DF,Alimentos & Bebidas,Bruno Costa,67.19,6,62.78
2023-09-15,Nordeste,PE,Alimentos & Bebidas,Gustavo Pereira,195.31,2,188.45
2023-09-15,Sul,SC,Esportes & Lazer,Diana Santos,911.67,1,1119.45
2023-09-15,Sudeste,MG,Casa & Jardim,Carlos Lima,609.84,5,718.51
2023-09-15,Sul,RS,Eletrônicos,Fernanda Alves,2877.64,5,3658.1
